"CTDID","Region","Year","Mission","Location","Latitude","Longitude","UTCDate","UTCTime","Sample_Depth_m","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Temperature_C","Pressure_db","SiteID","Survey_design","Sample_frequency","ncrmp_flag","bottle_id","legacy_flag","source_code","sample_num","bottle_name","deployment_id","deployment_num","project_code","calc_project_type","calc_project_class","calc_project_region","collection_id","collected_date","collected_time","collected_timezone","density_id","dic_id","calc_avg_dic","dic_temp","dic_kg_flag","calibration_dic_id","ta_id","calc_avg_ta","calc_avg_ta_temp","ta_kg_flag","calibration_ta_id","spec_ph_id","spec_ph_temp","rm_factor","seacarb_id"
"NCRMP_DRTO_296","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-24","NA","12.50","2094.923353695256270466","2376.840458137336343717","7.951330003685298","7.93102844828385000000","555.303082793317000000","3.26762575770590000000","36.412623620750104","28.69000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22201","0","R","9886","2M-9886","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20292","2024-06-24","12:00:00",,"13530","26902","2147.9921840064","25","0","1366","17781","2426.4","23.15","0","1644","6572","24.91","1.9971","40296"
"NCRMP_DRTO_297","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-24","NA","12.50","2055.483443435967383990","2380.071312302224474697","7.888054926706688","8.00521628871591000000","451.153416390739000000","3.69294820402857000000","36.493483617565180","28.33000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22202","0","R","9887","3M-9887","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20293","2024-06-24","16:25:00",,"13531","26903","2107.715336509155","25","0","1366","17782","2430.2","22.65","0","1644","6573","24.898","1.7385","40297"
"NCRMP_DRTO_298","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-24","NA","12.50","2060.473775544708387988","2380.730915564522970932","7.950086279299436","7.98880280980503000000","471.483991905143000000","3.65180518557515000000","36.682081658338050","28.81000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22204","0","R","9889","5M-9889","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20295","2024-06-24","15:00:00",,"13533","26905","2113.12202599059","25","0","1366","17784","2431.25","22.6","0","1644","6575","24.914","1.9994","40299"
"NCRMP_DRTO_299","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-25","NA","12.50","2055.022958831096019723","2373.709471554703048122","7.966861420855383","7.98047391482359000000","481.077731635845000000","3.65335489392122000000","36.523608251171126","29.40000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22200","0","R","9885","1M-9885","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20291","2024-06-25","13:40:00",,"13529","26901","2107.29045396609","25","0","1366","17780","2423.8","22.55","0","1644","6571","24.847","2.0988","40295"
"NCRMP_DRTO_300","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-25","NA","12.50","2057.647508140478085118","2385.548136473256438097","7.888665926068959","8.01432660724221000000","441.004353052369000000","3.72142055817312000000","36.511820411472510","28.00000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22203","0","R","9888","4M-9888","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20294","2024-06-25","08:52:00",,"13532","26904","2109.960927473555","25","0","1366","17783","2435.95","22.5","0","1644","6574","24.906","1.7259","40298"
"NCRMP_DRTO_301","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-25","NA","12.50","2106.866650289280683366","2382.230784744480045035","7.958843906291875","7.91588409238552000000","579.955571884127000000","3.20249080617152000000","36.525266271375040","28.81000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22205","0","R","9890","6M-9890","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20296","2024-06-25","09:00:00",,"13534","26906","2160.406704612595","25","0","1366","17785","2432.3","22.9","0","1644","6576","24.97","2.0345","40300"
"NCRMP_DRTO_302","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-25","NA","12.50","2063.303071837529875306","2388.262083803938077796","8.025821132103136","7.99668161544427000000","463.027686863056000000","3.71095993553624000000","36.552074341118775","28.81000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22207","0","R","9893","9M-9893","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20298","2024-06-25","03:00:00",,"13536","26908","2115.817858534825","25","0","1366","17787","2438.6","22.8","0","1644","6578","24.864","2.3274","40302"
"NCRMP_DRTO_303","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-25","NA","12.50","2060.349452450854135991","2377.755305260204597090","8.007053380646301","7.98312959187490000000","478.884094885845000000","3.63537201030333000000","36.501690489196630","29.06000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22216","0","R","9907","23M-9907","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20307","2024-06-25","15:00:00",,"13545","26917","2110.090639263125","25","0","1367","17799","2425.8","22.65","0","1645","6587","24.796","2.2557","40311"
"NCRMP_DRTO_304","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-26","NA","12.50","2060.710448462522795538","2375.939949852222253521","7.996183612753836","7.97433090333089000000","490.097279468321000000","3.62157761432353000000","36.495406781213380","29.44000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22208","0","R","9897","13M-9897","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20299","2024-06-26","12:40:00",,"13537","26909","2110.45068022751","25","0","1367","17788","2425.9","22.75","0","1644","6579","24.828","2.2282","40303"
"NCRMP_DRTO_305","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-26","NA","12.50","2067.943744764461306006","2380.810756110606728946","8.010253557142650","7.97687224830722000000","488.209970670461000000","3.58674035928399000000","36.524569753523190","28.94000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22210","0","R","9899","15M-9899","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20301","2024-06-26","03:00:00",,"13539","26911","2117.9066057712","25","0","1367","17790","2431.15","22.45","0","1644","6581","24.818","2.2635","40305"
"NCRMP_DRTO_306","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-26","NA","12.50","2061.171866587799995125","2383.603622475720622332","7.950255346555519","7.98646431822804000000","474.981804808501000000","3.69153899071965000000","36.582546284115720","29.25000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22211","0","R","9901","17M-9901","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20302","2024-06-26","15:00:00",,"13540","26912","2111.05921104911","25","0","1367","17791","2434.05","22.55","0","1644","6582","24.834","2.0221","40306"
"NCRMP_DRTO_307","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-26","NA","12.50","2080.164655976522093646","2382.405071894628568088","8.046348751923649","7.95735517309937000000","515.836005150091000000","3.47647024649303000000","36.613546842049750","29.00000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22213","0","R","9903","19M-9903","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20304","2024-06-26","06:00:00",,"13542","26914","2130.566842883805","25","0","1367","17796","2430.7","22.75","0","1645","6584","24.8","2.4357","40308"
"NCRMP_DRTO_308","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-26","NA","12.50","2066.757031838611204819","2376.076330134763863820","7.975630479950564","7.96557405392419000000","502.269751333320000000","3.55356375813258000000","36.588133504318670","29.31000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22214","0","R","9905","21M-9905","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20305","2024-06-26","21:00:00",,"13543","26915","2116.7901666441","25","0","1367","17797","2424.2","22.7","0","1645","6585","24.851","2.1317","40309"
"NCRMP_DRTO_309","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-27","NA","12.50","2069.705339879986582600","2380.765712002626867798","7.977018411516804","7.97513255205621000000","490.830172688551000000","3.56866205527975000000","36.488244499078974","28.89000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22206","0","R","9892","8M-9892","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20297","2024-06-27","06:56:00",,"13535","26907","2122.277065415645","25","0","1366","17786","2430.8","22.8","0","1644","6577","24.864","2.1147","40301"
"NCRMP_DRTO_310","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-27","NA","12.50","2073.523955975138696644","2394.581732552008431822","7.980562711712192","7.98545602245750000000","479.133687751609000000","3.68470345115746000000","36.506929578751460","29.12000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22209","0","R","9898","14M-9898","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20300","2024-06-27","06:00:00",,"13538","26910","2123.595849335345","25","0","1367","17789","2445.1","22.65","0","1644","6580","24.835","2.1423","40304"
"NCRMP_DRTO_311","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-27","NA","12.50","2072.246865847853312908","2376.190367011427029805","8.052889076026966","7.95979269642454000000","511.174386298407000000","3.50042282889255000000","36.484315150150060","29.19000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22212","0","R","9902","18M-9902","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20303","2024-06-27","03:00:00",,"13541","26913","2122.252056365165","25","0","1367","17795","2424.3","22.45","0","1645","6583","24.756","2.4781","40307"
"NCRMP_DRTO_312","DRTO","2024","NCRMP","DRTO","24.6113100000000","-82.8705000000000","2024-06-27","NA","12.50","2094.435113307604485288","2375.232879490132140829","8.100263758195513","8.02524141580452000000","431.389192940327000000","3.11392238501722000000","36.568487731533295","22.14000","1.250000","Bird_Key_Reef","Permanent","Diurnal","1","22215","0","R","9906","22M-9906","992","282","NCRMP Climate DRTO June 2024","NCRMP_DRTO","NCRMP","DRTO","20306","2024-06-27","00:00:00",,"13544","26916","2145.11645945125","25","0","1367","17798","2423.3","22.7","0","1645","6586","24.872","2.2831","40310"
